id	level	content	estimated_time
o_1	1	学会Flutter开发	44h30min
kr_1_1	2	1周内掌握Flutter基础认知与环境搭建，能在模拟器上运行第一个应用	5h30min
task_1_1	3	学习Flutter基础概念	1h30min
subtask_1_1_1	4	观看《课程B》002 什么是Flutter	0h15min
subtask_1_1_2	4	观看《课程B》004 理解Flutter架构	0h20min
subtask_1_1_3	4	观看《课程B》005 Flutter和Dart代码如何编译为原生应用	0h25min
subtask_1_1_4	4	观看《课程B》006 理解Flutter版本	0h20min
subtask_1_1_5	4	观看《课程B》011 Flutter和Material Design	0h10min
task_1_2	3	搭建开发环境（以macOS为例）	2h00min
subtask_1_2_1	4	观看《课程B》007 Flutter macOS设置	0h30min
subtask_1_2_2	4	观看《课程B》008 macOS开发环境	0h40min
subtask_1_2_3	4	实际操作安装Flutter SDK、配置环境变量	0h50min
task_1_3	3	在模拟器上运行第一个应用	2h00min
subtask_1_3_1	4	观看《课程B》025 在模拟器上运行应用	0h20min
subtask_1_3_2	4	观看《课程B》062 使用模拟器	0h15min
subtask_1_3_3	4	创建新项目并在模拟器运行	0h45min
subtask_1_3_4	4	分析默认应用结构（《课程B》020 分析默认应用）	0h40min
kr_2_1	2	2周内掌握Dart语言基础，能编写包含类、函数、异步操作的简单程序	3h30min
task_2_1	3	学习Dart基础语法	1h30min
subtask_2_1_1	4	观看《课程B》021 Dart基础	0h25min
subtask_2_1_2	4	观看《课程B》022 更多Dart基础	0h25min
subtask_2_1_3	4	练习变量、数据类型、函数定义	0h40min
task_2_2	3	学习Dart面向对象与异步	2h00min
subtask_2_2_1	4	观看《课程B》026 类构造函数和命名参数	0h20min
subtask_2_2_2	4	观看《课程B》194 DART深入学习 继承(extends)与混入(with)	0h30min
subtask_2_2_3	4	观看《课程B》244 DART深入学习 Future和异步代码	0h25min
subtask_2_2_4	4	编写包含类和异步操作的Dart程序	0h45min
kr_3_1	2	3周内掌握核心组件与布局，能搭建包含列表、表单的基础页面	6h30min
task_3_1	3	学习基础组件与布局原则	2h00min
subtask_3_1_1	4	观看《课程A》Flutter深入浅出---MaterialApp	0h45min
subtask_3_1_2	4	观看《课程A》Flutter深入浅出---Scaffold	0h30min
subtask_3_1_3	4	观看《课程B》029 可见(输入输出)和不可见(布局控制)组件	0h25min
subtask_3_1_4	4	练习使用Container、Row、Column（《课程B》080 容器与列与行对比）	0h20min
task_3_2	3	学习列表与表单组件	2h30min
subtask_3_2_1	4	观看《课程B》089 使列表可滚动、090 使用ListViews	0h40min
subtask_3_2_2	4	观看《课程B》084 添加文本输入组件(TextField)、085 获取用户输入	0h35min
subtask_3_2_3	4	练习创建可滚动列表并添加表单输入	0h55min
task_3_3	3	学习布局辅助组件	2h00min
subtask_3_3_1	4	观看《课程A》Flutter深入浅出---Padding、Align	0h40min
subtask_3_3_2	4	观看《课程A》Flutter深入浅出---ConstrainedBox、BoxConstraints	0h10min
subtask_3_3_3	4	观看《课程B》106 深入理解Flexible和Expanded	0h25min
subtask_3_3_4	4	使用布局组件优化页面结构	0h45min
kr_4_1	2	4周内掌握导航与状态管理，能实现页面跳转和数据共享	5h00min
task_4_1	3	学习导航与路由	2h00min
subtask_4_1_1	4	观看《课程B》162 导航到新页面、163 通过构造函数传递数据	0h35min
subtask_4_1_2	4	观看《课程B》164 使用命名路由并传递数据	0h25min
subtask_4_1_3	4	练习实现多页面跳转与数据传递	0h40min
subtask_4_1_4	4	观看《课程B》175 添加自定义抽屉导航	0h20min
task_4_2	3	学习状态管理基础	3h00min
subtask_4_2_1	4	观看《课程B》087 连接组件和管理数据状态	0h25min
subtask_4_2_2	4	观看《课程B》192 理解Provider包和方法、193 使用Provider和Listener	0h50min
subtask_4_2_3	4	观看《课程B》199 使用Consumer替代Provider.of	0h25min
subtask_4_2_4	4	使用Provider实现跨组件数据共享	1h20min
kr_5_1	2	5周内掌握网络请求与数据处理，能从网络获取并展示数据	4h30min
task_5_1	3	学习HTTP请求与Future	2h00min
subtask_5_1_1	4	观看《课程B》240 如何发送Http请求、242 发送POST请求	0h40min
subtask_5_1_2	4	观看《课程B》243 在Dart中使用Future、245 显示加载指示器	0h35min
subtask_5_1_3	4	练习发送GET请求并处理返回数据	0h45min
task_5_2	3	学习数据处理与错误处理	2h30min
subtask_5_2_1	4	观看《课程B》246 优雅地处理错误、253 创建自定义异常和更多错误处理	0h40min
subtask_5_2_2	4	观看《课程B》250 实现下拉刷新	0h25min
subtask_5_2_3	4	练习实现带错误处理的下拉刷新列表	1h25min
kr_6_1	2	6周内掌握动画与设备功能调用，能实现基础动画和调用摄像头	4h00min
task_6_1	3	学习基础动画	1h30min
subtask_6_1_1	4	观看《课程B》282 使用AnimatedBuilder组件、283 使用AnimatedContainer	0h35min
subtask_6_1_2	4	观看《课程B》286 添加Hero过渡动画	0h20min
subtask_6_1_3	4	练习实现页面切换动画	0h35min
task_6_2	3	学习设备功能调用	2h30min
subtask_6_2_1	4	观看《课程B》297 使用图像选择器和设备摄像头	0h35min
subtask_6_2_2	4	观看《课程B》298 在文件系统上存储图像(设备上)	0h25min
subtask_6_2_3	4	练习调用摄像头拍摄并保存图片	1h30min
kr_7_1	2	7周内完成一个包含导航、状态管理、网络请求的完整小应用并发布测试版	16h00min
task_7_1	3	需求分析与架构设计	2h00min
subtask_7_1_1	4	确定应用功能模块（如首页、详情页、个人中心）	0h40min
subtask_7_1_2	4	设计页面跳转关系与数据流向	0h40min
subtask_7_1_3	4	规划状态管理方案与网络接口调用	0h40min
task_7_2	3	开发核心功能模块	6h00min
subtask_7_2_1	4	开发首页列表与网络数据获取	1h30min
subtask_7_2_2	4	开发详情页与导航跳转	1h30min
subtask_7_2_3	4	开发表单页面与数据提交	1h30min
subtask_7_2_4	4	集成状态管理实现数据共享	1h30min
task_7_3	3	添加动画与设备交互	3h00min
subtask_7_3_1	4	为页面切换添加过渡动画	1h00min
subtask_7_3_2	4	实现图片选择与展示功能	2h00min
task_7_4	3	测试与发布准备	5h00min
subtask_7_4_1	4	在真实设备上测试（《课程B》059、061）	1h00min
subtask_7_4_2	4	修复测试中发现的bug	2h00min
subtask_7_4_3	4	准备应用图标与启动页（《课程B》368）	1h00min
subtask_7_4_4	4	生成测试版APK/IPA	1h00min
******
from	to
subtask_1_1_1	subtask_1_1_2
subtask_1_1_2	subtask_1_1_3
subtask_1_1_3	subtask_1_1_4
subtask_1_1_4	subtask_1_1_5
subtask_1_1_5	task_1_1
subtask_1_2_1	subtask_1_2_2
subtask_1_2_2	subtask_1_2_3
subtask_1_2_3	task_1_2
subtask_1_3_1	subtask_1_3_2
subtask_1_3_2	subtask_1_3_3
subtask_1_3_3	subtask_1_3_4
subtask_1_3_4	task_1_3
task_1_1	task_1_2
task_1_2	task_1_3
task_1_3	kr_1_1
subtask_2_1_1	subtask_2_1_2
subtask_2_1_2	subtask_2_1_3
subtask_2_1_3	task_2_1
subtask_2_2_1	subtask_2_2_2
subtask_2_2_2	subtask_2_2_3
subtask_2_2_3	subtask_2_2_4
subtask_2_2_4	task_2_2
task_2_1	task_2_2
task_2_2	kr_2_1
kr_1_1	kr_2_1
subtask_3_1_1	subtask_3_1_2
subtask_3_1_2	subtask_3_1_3
subtask_3_1_3	subtask_3_1_4
subtask_3_1_4	task_3_1
subtask_3_2_1	subtask_3_2_2
subtask_3_2_2	subtask_3_2_3
subtask_3_2_3	task_3_2
subtask_3_3_1	subtask_3_3_2
subtask_3_3_2	subtask_3_3_3
subtask_3_3_3	subtask_3_3_4
subtask_3_3_4	task_3_3
task_3_1	task_3_2
task_3_2	task_3_3
task_3_3	kr_3_1
kr_2_1	kr_3_1
subtask_4_1_1	subtask_4_1_2
subtask_4_1_2	subtask_4_1_3
subtask_4_1_3	subtask_4_1_4
subtask_4_1_4	task_4_1
subtask_4_2_1	subtask_4_2_2
subtask_4_2_2	subtask_4_2_3
subtask_4_2_3	subtask_4_2_4
subtask_4_2_4	task_4_2
task_4_1	task_4_2
task_4_2	kr_4_1
kr_3_1	kr_4_1
subtask_5_1_1	subtask_5_1_2
subtask_5_1_2	subtask_5_1_3
subtask_5_1_3	task_5_1
subtask_5_2_1	subtask_5_2_2
subtask_5_2_2	subtask_5_2_3
subtask_5_2_3	task_5_2
task_5_1	task_5_2
task_5_2	kr_5_1
kr_4_1	kr_5_1
subtask_6_1_1	subtask_6_1_2
subtask_6_1_2	subtask_6_1_3
subtask_6_1_3	task_6_1
subtask_6_2_1	subtask_6_2_2
subtask_6_2_2	subtask_6_2_3
subtask_6_2_3	task_6_2
task_6_1	task_6_2
task_6_2	kr_6_1
kr_5_1	kr_6_1
subtask_7_1_1	subtask_7_1_2
subtask_7_1_2	subtask_7_1_3
subtask_7_1_3	task_7_1
subtask_7_2_1	subtask_7_2_2
subtask_7_2_2	subtask_7_2_3
subtask_7_2_3	subtask_7_2_4
subtask_7_2_4	task_7_2
subtask_7_3_1	subtask_7_3_2
subtask_7_3_2	task_7_3
subtask_7_4_1	subtask_7_4_2
subtask_7_4_2	subtask_7_4_3
subtask_7_4_3	subtask_7_4_4
subtask_7_4_4	task_7_4
task_7_1	task_7_2
task_7_2	task_7_3
task_7_3	task_7_4
task_7_4	kr_7_1
kr_6_1	kr_7_1
kr_7_1	o_1